image_path,class_name,labels,feature_vector,x,y
/kaggle/input/van-gogh-paintings/Nuenen/Autumn Landscape.jpg,Nuenen,5,"[-0.15164506  0.06227734 -0.07682905 ...  0.08936558  0.02335931
  0.05710536]",-12.310215,-2.2811687
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Man.jpg,Nuenen,5,"[ 0.04215388  0.37657863  0.1528432  ... -0.12599038 -0.09285651
 -0.12816948]",16.229975,1.2341955
/kaggle/input/van-gogh-paintings/Nuenen/New-Born Calf Lying on Straw.jpg,Nuenen,5,[0.3889301  0.9456059  0.41165546 ... 0.05430319 0.40129775 0.34921345],11.780123,7.6181717
/kaggle/input/van-gogh-paintings/Nuenen/Lane with Poplars.jpg,Nuenen,5,"[-0.15894191  0.15171897 -0.15419663 ...  0.6978451   0.18038921
  0.07494688]",-13.523932,-3.330891
/kaggle/input/van-gogh-paintings/Nuenen/Cottage 2.jpg,Nuenen,5,"[-0.1924884   0.561303    0.03110561 ...  0.1941155   0.40481672
  0.00942623]",-3.5583277,-12.63388
/kaggle/input/van-gogh-paintings/Nuenen/Bobbin Winder.jpg,Nuenen,5,[0.44793555 0.19553843 0.4562556  ... 0.86512417 0.07897025 0.06718193],-15.53308,14.344479
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Woman 3.jpg,Nuenen,5,"[ 0.0989126   0.15367293  0.6848456  ... -0.20404765  0.04717106
 -0.11181629]",14.817168,2.2245226
/kaggle/input/van-gogh-paintings/Nuenen/Country Lane with Two Figures.jpg,Nuenen,5,"[-0.16016082  0.7212354   0.5261396  ...  0.7699632   0.23261578
  0.15887189]",-10.458723,-15.300325
/kaggle/input/van-gogh-paintings/Nuenen/Cottage with Trees and Peasant Woman.jpg,Nuenen,5,"[-0.12319209  0.60176027  0.5955761  ...  0.25436342 -0.05023158
 -0.14892639]",-8.059677,0.66392773
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant Woman with Dark Cap 6.jpg,Nuenen,5,"[ 0.03334271  0.552419    0.3019097  ... -0.18513934 -0.00281934
 -0.1218496 ]",16.562088,2.6150415
/kaggle/input/van-gogh-paintings/Nuenen/Head of an Old Peasant Woman with White Cap.jpg,Nuenen,5,"[-0.0872938  -0.00445353  0.57959586 ... -0.1361312   0.00520782
 -0.00188836]",14.467167,-0.98852926
/kaggle/input/van-gogh-paintings/Nuenen/Avenue of Poplars at Sunset.jpg,Nuenen,5,[0.03760581 0.5644273  0.24492143 ... 0.3840905  0.36478    0.19278017],-12.767414,-0.590172
/kaggle/input/van-gogh-paintings/Paris/Roadway with Underpass The Viaduct.jpg,Paris,6,"[-0.00725193  0.22164015  0.33826134 ... -0.093175   -0.03080869
 -0.08675905]",-11.9292145,-12.272641
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Kneeling Man.jpg,Paris,6,"[-0.07909063  0.5607296   0.39655983 ...  0.11865827  0.11803287
  0.45075157]",9.941846,3.789651
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias and Other Flowers.jpg,Paris,6,"[-0.1583608  -0.09725742 -0.14902218 ... -0.02031422  0.04617779
 -0.14713314]",-0.15215473,2.8802757
/kaggle/input/van-gogh-paintings/Paris/Portrait of Pere Tanguy 3.jpg,Paris,6,"[-0.12795095  0.03946627  0.23278186 ... -0.17039081 -0.08852728
 -0.05807946]",9.226316,-0.46272153
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias.jpg,Paris,6,"[-0.16632546  0.10469996 -0.04838201 ... -0.08328887  0.02090281
 -0.08011841]",-0.23391172,2.3730233
/kaggle/input/van-gogh-paintings/Paris/Vegetable Gardens in Montmartre La Butte Montmartre.jpg,Paris,6,"[ 0.15973972  0.22659397  1.0119388  ...  0.01703593 -0.16482848
  0.20900257]",-9.109679,-7.440997
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias and Geraniums.jpg,Paris,6,"[-1.7910960e-01 -2.8177473e-04 -1.2256182e-01 ... -2.3536395e-02
  4.1867992e-01 -7.4975871e-02]",-0.3126359,2.0679512
/kaggle/input/van-gogh-paintings/Paris/Vase with Red and White Carnations on Yellow Background.jpg,Paris,6,"[-0.05667523  0.13942994  0.35712433 ...  0.01006194 -0.01864892
  0.70045763]",-0.98021734,0.69725996
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Pipe and Glass.jpg,Paris,6,"[-0.04857401  0.4435753   0.18457311 ... -0.13807064 -0.16151771
  0.13689089]",15.798897,5.093843
/kaggle/input/van-gogh-paintings/Paris/Terrace of a Cafe on Montmartre La Guinguette.jpg,Paris,6,"[-0.047047    0.05353818  0.5659408  ...  0.07187687 -0.02937463
  0.5540099 ]",-0.7507015,-8.966748
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 6.jpg,Paris,6,"[-0.14146371 -0.03720076  0.32363385 ... -0.15340911 -0.08101659
 -0.07654675]",16.013248,4.137335
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Horse.jpg,Paris,6,"[-0.20127763 -0.15968816  0.5012686  ... -0.07806081  0.5559351
  0.8477972 ]",5.2197785,4.595559
/kaggle/input/van-gogh-paintings/Paris/Still Life with Basket of Apples to Lucien Pissarro.jpg,Paris,6,"[-0.18801272  0.40713647  0.655138   ... -0.17452328 -0.19011539
 -0.14770111]",8.919044,-8.202439
/kaggle/input/van-gogh-paintings/Paris/Vase with Daisies and Anemones.jpg,Paris,6,"[-0.18879808 -0.03115465 -0.11569644 ... -0.099499    0.3618248
 -0.18949506]",-0.47913063,3.2433972
/kaggle/input/van-gogh-paintings/Paris/The Seine with a Rowing Boat.jpg,Paris,6,"[-0.17092492 -0.04100097 -0.07868712 ... -0.02434123  0.01254798
 -0.07045744]",-8.472193,-1.0696566
/kaggle/input/van-gogh-paintings/Paris/Undergrowth.jpg,Paris,6,"[-0.18314444 -0.0840907  -0.09692562 ... -0.00901848 -0.14621459
 -0.05777224]",-14.487391,-4.8653984
/kaggle/input/van-gogh-paintings/Paris/Vase with Gladioli.jpg,Paris,6,"[-0.17676012  0.13670182  0.8054946  ... -0.16402803  0.00722382
 -0.07530129]",-0.1027597,0.63359624
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat.jpg,Paris,6,"[-0.04212358 -0.19269525 -0.20067754 ... -0.16103083 -0.0445734
 -0.14081642]",12.315699,-1.779165
/kaggle/input/van-gogh-paintings/Paris/The Rispal Restaurant at Asnieres.jpg,Paris,6,"[ 0.04837151 -0.10056961  0.07295386 ...  0.16369961 -0.1096181
  0.32527336]",-4.9818606,-10.01066
/kaggle/input/van-gogh-paintings/Paris/Portrait of Pere Tanguy.jpg,Paris,6,"[-0.09815365 -0.09539759 -0.05636794 ... -0.15139243 -0.13006203
 -0.07193486]",9.602364,-0.8333342
/kaggle/input/van-gogh-paintings/Paris/Vegetable Garden in Montmartre.jpg,Paris,6,"[ 0.03208414  0.08365522  0.74371237 ... -0.1023748   0.15702684
  0.40257323]",-5.738053,-10.769136
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat 4.jpg,Paris,6,"[-0.06461711  0.04894689  0.05609688 ... -0.13169584 -0.18777022
  0.43351874]",11.931839,-1.3909734
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 9.jpg,Paris,6,"[ 0.15203471  0.29630202  0.8177869  ... -0.1339931   0.14900209
  0.2617015 ]",15.095659,6.453128
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Dark Felt Hat.jpg,Paris,6,"[ 0.2828693   0.34047902  0.01622724 ... -0.1644127  -0.14855161
  0.11907391]",16.640966,1.6120481
/kaggle/input/van-gogh-paintings/Paris/Portrait of a Man.jpg,Paris,6,"[ 0.15086068  0.04538801  0.9546382  ... -0.14841497 -0.03593104
 -0.09115051]",15.113148,3.3434203
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Two Herrings, a Cloth and a Glass.jpg",Paris,6,"[-0.15459019  0.9774596   0.725823   ... -0.1449001   0.45684338
  0.10540244]",8.059115,6.949414
/kaggle/input/van-gogh-paintings/Paris/The Still Life with Abs.jpg,Paris,6,"[-0.12094478 -0.01143913  0.06733016 ... -0.0771995   0.24804433
 -0.0846618 ]",1.1027864,3.522191
/kaggle/input/van-gogh-paintings/Paris/Still Life with Basket of Apples.jpg,Paris,6,"[-0.1992382   0.2135076   0.23359331 ... -0.196662   -0.22909565
 -0.0197631 ]",8.954925,-8.25927
/kaggle/input/van-gogh-paintings/Saint Remy/First Steps after Millet.jpg,Saint Remy,7,"[-0.07163722  0.4178858   0.35085762 ...  0.01318154  0.39516777
  0.56221783]",0.854783,-6.77155
/kaggle/input/van-gogh-paintings/Saint Remy/Undergrowth with Ivy.jpg,Saint Remy,7,"[-0.19713749  0.2501859  -0.15156226 ... -0.02432409 -0.15731321
 -0.16054526]",-14.667169,-4.6193647
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove.jpg,Saint Remy,7,"[-0.10899244  0.00552704  0.45264912 ... -0.06547278 -0.07092718
  0.20612293]",-6.178548,-2.3775883
/kaggle/input/van-gogh-paintings/Saint Remy/The Good Samaritan after Delacroix.jpg,Saint Remy,7,"[-0.13803478  0.59734815  0.5040981  ... -0.16378178  0.12417119
  0.61944765]",3.5152628,-3.993225
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Vase with Irises Against a Yellow Background.jpg,Saint Remy,7,"[-0.2043025   0.4598654   0.42085934 ... -0.09711888 -0.18122917
 -0.03331083]",-2.6853936,-7.185044
/kaggle/input/van-gogh-paintings/Saint Remy/Evening The End of the Day after Millet.jpg,Saint Remy,7,"[ 0.38055995  0.29141596  0.3295326  ... -0.10344518  0.12811269
 -0.02447924]",5.706074,-0.7444161
/kaggle/input/van-gogh-paintings/Saint Remy/The Drinkers.jpg,Saint Remy,7,"[-0.14808764  0.427956    0.18196264 ...  0.14604901 -0.07355468
  0.21226567]",7.7761803,-1.0332242
/kaggle/input/van-gogh-paintings/Saint Remy/Half Figure of an Angel after Rembrandt.jpg,Saint Remy,7,"[ 0.16545156 -0.10720073  0.6730798  ... -0.07343315  0.36213484
  0.02637015]",4.9839883,-3.2833326
/kaggle/input/van-gogh-paintings/Saint Remy/Peasant Woman with a Rake after Millet.jpg,Saint Remy,7,"[-0.01974076  0.5589451   0.34496248 ... -0.157925    0.26169246
  0.12679873]",4.359625,1.4099356
/kaggle/input/van-gogh-paintings/Saint Remy/Enclosed Field with Rising Sun.jpg,Saint Remy,7,"[-0.19584125  0.36815158 -0.03221891 ... -0.04692982 -0.05562492
  0.00098135]",-6.36151,-5.6715374
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove Bright Blue Sky.jpg,Saint Remy,7,"[-0.16535187  0.47361407  0.2864099  ... -0.0408025  -0.07668138
  0.07212888]",-6.8307557,-4.5027347
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Fields with Reaper at Sunrise.jpg,Saint Remy,7,"[-0.17540954  0.36085534  0.681382   ... -0.09791997  0.06228574
  0.16154958]",-5.4186544,-4.2387633
/kaggle/input/van-gogh-paintings/Saint Remy/Landscape with Olive Tree and Mountains in the Background.jpg,Saint Remy,7,"[-0.15852249  0.32734185  0.19910994 ... -0.03736717  0.41198075
 -0.11368154]",-9.377529,2.3646185
/kaggle/input/van-gogh-paintings/Saint Remy/The Raising of Lazarus after Rembrandt.jpg,Saint Remy,7,"[-0.17854638  0.6208929   0.55755526 ... -0.04220619 -0.01885276
  0.05708393]",0.83794373,-3.8034704
/kaggle/input/van-gogh-paintings/Saint Remy/Trees in the Garden of Saint-Paul Hospital 3.jpg,Saint Remy,7,"[-0.1376642   0.24012864  0.53955567 ... -0.03582162  0.31159055
  1.1285006 ]",-1.3964621,-2.4376128
/kaggle/input/van-gogh-paintings/Saint Remy/Evening The Watch after Millet.jpg,Saint Remy,7,"[-0.09594554  0.07144483  0.3199129  ...  0.16278794 -0.00252428
  0.18966453]",4.403602,-2.6708894
/kaggle/input/van-gogh-paintings/Saint Remy/Trees in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7,"[-0.0964322   0.1537446   0.5685415  ... -0.06753574 -0.07291632
  0.36023948]",-1.4428698,-3.315902
"/kaggle/input/van-gogh-paintings/Saint Remy/Sower, The after Millet.jpg",Saint Remy,7,"[-0.10218776  0.08886854  0.5176397  ... -0.08473894  0.03411809
  0.142497  ]",7.0613017,-1.0123838
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees.jpg,Saint Remy,7,"[-0.14312865  0.3635972   0.1139027  ... -0.0211881   0.25235006
  0.55146724]",-6.93849,-4.317484
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux 4.jpg,Saint Remy,7,"[-0.10116203 -0.12630881  1.0952233  ... -0.15276065 -0.13988307
  0.12508865]",10.045349,1.1926255
/kaggle/input/van-gogh-paintings/Saint Remy/Old Man in Sorrow On the Threshold of Eternity.jpg,Saint Remy,7,"[-0.02364172  0.08462839  0.5309493  ... -0.00329256  0.4749823
  0.58160836]",6.526386,-2.4150817
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Vase with Roses.jpg,Saint Remy,7,"[-0.18847673  0.4574782   0.99106294 ... -0.1126283   0.16943726
  0.02075361]",2.0532954,-5.294021
"/kaggle/input/van-gogh-paintings/Saint Remy/Sheep-Shearers, The after Millet.jpg",Saint Remy,7,"[-0.1552787   0.96280205  0.58458495 ...  0.04079937  0.50172335
  0.2799367 ]",4.931133,-5.561329
/kaggle/input/van-gogh-paintings/Saint Remy/Pine Trees and Dandelions in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7,"[-0.1638593   0.13628656 -0.079108   ... -0.04670285 -0.03542137
  0.1011107 ]",-13.604942,-6.024569
/kaggle/input/van-gogh-paintings/Saint Remy/The Road Menders 2.jpg,Saint Remy,7,"[-0.16218284  0.7202952   0.3863709  ...  0.00397935  0.2201783
  0.010215  ]",0.6093149,-3.2079315
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field Behind Saint-Paul Hospital.jpg,Saint Remy,7,"[-0.1948886   1.031384    0.49742314 ... -0.02835434 -0.1143259
  0.16674243]",-5.61441,-5.706558
/kaggle/input/van-gogh-paintings/Saint Remy/The Iris.jpg,Saint Remy,7,"[-0.1874521   0.3767267  -0.03452693 ... -0.02743147 -0.15544595
  0.15119618]",-4.410373,-6.946096
/kaggle/input/van-gogh-paintings/Saint Remy/Peasant Woman Cutting Straw after Millet.jpg,Saint Remy,7,"[-0.13704821  0.46141496  0.66256547 ... -0.02308708  0.35828122
  0.17071746]",5.570762,0.08833602
/kaggle/input/van-gogh-paintings/Sketches in letters/Rooftops.jpg,Sketches in letters,8,"[-0.1151676   0.45621297  0.7106356  ... -0.17308836 -0.17672709
 -0.09406456]",-1.1000872,-16.878628
/kaggle/input/van-gogh-paintings/Sketches in letters/Garbage Dump.jpg,Sketches in letters,8,"[-0.01797601  0.07610913  0.47257882 ...  0.04016642  0.16382094
  0.21428065]",-7.3099327,11.798292
/kaggle/input/van-gogh-paintings/Sketches in letters/The Public Soup Kitchen.jpg,Sketches in letters,8,"[-0.10832435  0.08876757  0.45894843 ... -0.11073105 -0.03290524
  0.194966  ]",-7.0777993,11.508614
/kaggle/input/van-gogh-paintings/Sketches in letters/Sower with Hand in Sack.jpg,Sketches in letters,8,"[ 0.2605072   0.731254    0.9331423  ... -0.13464439  0.2588534
  0.00265653]",-12.4665575,11.604123
/kaggle/input/van-gogh-paintings/Sketches in letters/A Girl in a Wood.jpg,Sketches in letters,8,"[-0.15566787 -0.06163487  0.8929971  ... -0.13990141  0.44945177
  0.45726138]",-5.250917,8.505771
/kaggle/input/van-gogh-paintings/Sketches in letters/Sunset Over a Meadow.jpg,Sketches in letters,8,"[-0.12837058  0.1311221   0.5600319  ... -0.08093447  0.13455664
 -0.04556724]",-4.592644,9.413078
/kaggle/input/van-gogh-paintings/Sketches in letters/People in the Studio.jpg,Sketches in letters,8,"[-0.06237392  0.01207095  0.39384216 ... -0.14367266  0.11879625
  0.01819768]",-3.3725982,9.827539
/kaggle/input/van-gogh-paintings/Sketches in letters/Women Working in the Peat.jpg,Sketches in letters,8,"[-0.14093925  0.71314543  0.6691846  ... -0.0711381  -0.02934915
  0.4049056 ]",-10.080637,11.558411
/kaggle/input/van-gogh-paintings/Sketches in letters/Marguerite Gachet at the Piano.jpg,Sketches in letters,8,"[-0.1850903   0.12315523  0.50163645 ... -0.0612866   0.15275298
  0.00573639]",-6.2395525,10.313358
/kaggle/input/van-gogh-paintings/Sketches in letters/Road with Pollard Willows 2.jpg,Sketches in letters,8,"[-0.1520319  -0.05592778  0.56462526 ... -0.02399434  0.47828773
  0.41398427]",-2.621029,8.734009
/kaggle/input/van-gogh-paintings/Sketches in letters/Orchard in Bloom with View of Arles.jpg,Sketches in letters,8,"[-0.09296934  0.18440908  0.4418798  ... -0.09540921  0.10545509
  0.20598847]",-2.7441533,10.004259
/kaggle/input/van-gogh-paintings/Sketches in letters/Field of Grass with Dandelions and Tree Trunks.jpg,Sketches in letters,8,"[-0.13719717 -0.18615597  0.32023048 ... -0.02461259  0.06283522
  0.08742591]",-1.5972681,10.762398
/kaggle/input/van-gogh-paintings/Sketches in letters/The Raising of Lazarus.jpg,Sketches in letters,8,"[-0.11373104  0.67933494  0.33476642 ... -0.11222986  0.09380969
  0.09473152]",-2.9798968,10.560275
/kaggle/input/van-gogh-paintings/Sketches in letters/Scheveningen Woman Sewing 2.jpg,Sketches in letters,8,"[-0.06400976  0.33928016  0.5193609  ...  0.13438015  0.24693854
  0.25200742]",-11.599131,12.765805
/kaggle/input/van-gogh-paintings/Sketches in letters/Round Clipped Shrub in the Public Garden.jpg,Sketches in letters,8,"[-0.06883578 -0.04080098  0.5527153  ...  0.00568252  0.3561039
  0.24473254]",-0.75841445,10.389783
/kaggle/input/van-gogh-paintings/Sketches in letters/Digger 2.jpg,Sketches in letters,8,"[-0.05334314  0.33029854  0.5231021  ... -0.03056278  0.57116467
  0.13230161]",-5.8463826,8.823792
/kaggle/input/van-gogh-paintings/Sketches in letters/Cypresses.jpg,Sketches in letters,8,"[-0.12589647 -0.16722304  0.04650414 ...  0.1388633  -0.15805744
  0.10234156]",-1.2342167,9.4970875
"/kaggle/input/van-gogh-paintings/Sketches in letters/Plowman with Stooping Woman, and a Little Farmhouse with Piles of Peat.jpg",Sketches in letters,8,"[-0.10279141  0.6344575   0.5904549  ... -0.12671992  0.0184036
  0.03031649]",-5.276565,11.880664
/kaggle/input/van-gogh-paintings/Sketches in letters/Wheat Fields.jpg,Sketches in letters,8,"[-0.17862132  0.0375815   0.42479366 ... -0.01652346  0.41024247
 -0.07139577]",-4.91036,9.420558
/kaggle/input/van-gogh-paintings/Sketches in letters/Drawbridge with Walking Couple.jpg,Sketches in letters,8,"[ 0.03447739  0.66348773  0.72020435 ... -0.15809138 -0.02507053
  0.12632743]",-7.0717964,10.606465
/kaggle/input/van-gogh-paintings/Sketches in letters/Wheat Fields 3.jpg,Sketches in letters,8,"[-0.19153327 -0.19780397  0.5263585  ... -0.0146028  -0.14383604
  0.01179812]",-4.2748246,10.671836
/kaggle/input/van-gogh-paintings/Sketches in letters/Garbage Dump 2.jpg,Sketches in letters,8,"[-0.12659045  0.03932112  0.49649227 ... -0.04071828  0.19744825
  0.13590655]",-8.017892,12.35313
"/kaggle/input/van-gogh-paintings/Sketches in letters/Road with Men Walking, Carriage, Cypress, Star, and Crescent Moon.jpg",Sketches in letters,8,"[-0.07016761 -0.00492718  0.3300605  ... -0.04265737  0.20699503
  0.28002483]",-2.2147546,9.890822
"/kaggle/input/van-gogh-paintings/Sketches in letters/Peasant Woman, Two Heads.jpg",Sketches in letters,8,"[-0.06926405  0.08650076  0.4152577  ... -0.0182266   0.20233679
  0.03101225]",-1.7005798,9.122503
/kaggle/input/van-gogh-paintings/Sketches in letters/Weaver Facing Left.jpg,Sketches in letters,8,"[-0.08344513  0.01967196  0.32125247 ... -0.08664785 -0.05942724
  0.15878734]",-6.5448127,13.412166
/kaggle/input/van-gogh-paintings/Sketches in letters/Man Pulling a Harrow.jpg,Sketches in letters,8,[0.20998797 0.48485327 0.4916972  ... 0.06963968 0.20967615 0.02369103],-9.636518,12.615762
/kaggle/input/van-gogh-paintings/Sketches in letters/State Lottery Office.jpg,Sketches in letters,8,"[-0.06907836  0.31263924  0.44527406 ...  0.05972137 -0.09193017
 -0.04944605]",-10.394307,13.92628
/kaggle/input/van-gogh-paintings/Sketches in letters/Orchard Surrounded by Cypresses.jpg,Sketches in letters,8,"[-0.11730426  0.14922494  0.77473587 ... -0.06093913  0.2579381
  0.12563476]",-5.775368,7.594849
/kaggle/input/van-gogh-paintings/Villege/Marshy Landscape.jpg,Villege,9,"[-0.09125129  0.5911959   0.46354064 ... -0.03728851 -0.04233383
 -0.00470122]",-10.370226,-1.5421108
/kaggle/input/van-gogh-paintings/Villege/Two Women in the Moor.jpg,Villege,9,"[ 0.15601425  0.5699123  -0.05637255 ...  0.30851293  0.06066325
  0.37551948]",-17.365309,-1.5458052
/kaggle/input/van-gogh-paintings/Villege/Still Life with Cabbage and Clogs.jpg,Villege,9,[0.04520939 1.334273   0.39510852 ... 0.16835752 0.5582641  0.2553175 ],10.221735,7.348243
/kaggle/input/van-gogh-paintings/Villege/Landscape with a Church at Twilight.jpg,Villege,9,"[-0.06034492  0.44447035  0.43052676 ... -0.14131042 -0.02149459
 -0.05905653]",-10.700309,1.4440805
/kaggle/input/van-gogh-paintings/Villege/Peat Boat with Two Figures.jpg,Villege,9,"[-0.1713829   0.49805787  0.3114737  ...  0.42047012  0.04923438
  0.21744727]",3.8774953,9.406274
/kaggle/input/van-gogh-paintings/Villege/Cows in the Meadow.jpg,Villege,9,"[-0.10222458 -0.06646614 -0.09180438 ... -0.12709194 -0.14225687
 -0.02082933]",-10.441861,0.8081391
/kaggle/input/van-gogh-paintings/Villege/Farmhouses in Loosduinen near The Hague at Twilight.jpg,Villege,9,"[-0.10512906  0.41397998  0.01989384 ... -0.1088054  -0.13197555
  0.0410977 ]",-4.276684,-12.530535
/kaggle/input/van-gogh-paintings/Villege/Dunes.jpg,Villege,9,"[-0.00216312  0.89057183  0.17954844 ...  0.00731917 -0.1614495
 -0.08233234]",-9.956664,-2.7454028
/kaggle/input/van-gogh-paintings/Villege/View of the Sea at Scheveningen.jpg,Villege,9,"[-0.09489848  0.780336    0.5460319  ...  0.15465301  0.23090765
 -0.02792249]",-10.691408,-6.1847663
/kaggle/input/van-gogh-paintings/Villege/Women Mending Nets in the Dunes.jpg,Villege,9,"[-0.13789059  0.53484577  0.6309577  ... -0.04099364 -0.2088357
 -0.16841924]",-9.473259,-6.2277293
"/kaggle/input/van-gogh-paintings/Villege/A Girl in the Street, Two Coaches in the Background.jpg",Villege,9,[0.01079934 0.79371136 0.39329323 ... 0.49859506 0.10218208 0.10822175],-11.830346,6.7645917
/kaggle/input/van-gogh-paintings/Villege/Edge of a Wood.jpg,Villege,9,"[-0.22743677  0.3902391  -0.06173302 ...  0.48553663  0.33061633
 -0.01818786]",-13.732372,-3.001087
/kaggle/input/van-gogh-paintings/Villege/Three Figures near a Canal with Windmill.jpg,Villege,9,"[-0.10518297  1.2619442   0.08241828 ...  0.12381811  0.00419378
  0.02412325]",-10.546161,10.356587
/kaggle/input/van-gogh-paintings/Villege/Footbridge across a Ditch.jpg,Villege,9,"[-0.11308751  0.20659955  0.55080986 ... -0.12637417 -0.15874565
 -0.10040163]",-9.800769,1.3385657
/kaggle/input/van-gogh-paintings/Villege/Man Stooping with Stick or Spade.jpg,Villege,9,"[-0.02475935  0.44948697  0.08089165 ...  0.51111984  0.6936075
  0.22342409]",12.308868,10.539539
/kaggle/input/van-gogh-paintings/Villege/A Wind-Beaten Tree.jpg,Villege,9,"[-0.14373587  0.34018493  0.17493978 ... -0.09164115 -0.12923652
 -0.07788697]",-11.133312,-1.8601145
/kaggle/input/van-gogh-paintings/Villege/Fisherman on the Beach.jpg,Villege,9,"[ 0.14830248  0.43837732 -0.18828247 ...  0.33714014 -0.01049324
 -0.07023992]",19.377884,5.8312354
/kaggle/input/van-gogh-paintings/Villege/The Sower study.jpg,Villege,9,"[-0.15663478  0.7952236   0.23483741 ...  0.06688749 -0.07554182
 -0.02843137]",-11.218397,3.8512578
/kaggle/input/van-gogh-paintings/Villege/Beach at Scheveningen in Calm Weather.jpg,Villege,9,"[ 0.12261026  0.3088912   0.39059198 ... -0.04279902 -0.18834728
  0.11986857]",-6.2447925,1.870002
/kaggle/input/van-gogh-paintings/Villege/Two Women in the Woods.jpg,Villege,9,"[-0.13797615  0.30766398  0.5160637  ...  0.24548855 -0.00409357
  0.1488061 ]",4.000009,9.334026
/kaggle/input/van-gogh-paintings/Villege/Cluster of Old Houses with the New Church in The Hague.jpg,Villege,9,"[-0.04176418 -0.03587317  0.26619902 ... -0.15323235  0.0153815
 -0.12612204]",-5.562698,-12.694255
/kaggle/input/van-gogh-paintings/Villege/Lying Cow 2.jpg,Villege,9,"[ 0.02748179  0.47971693 -0.04097943 ... -0.15418214  0.46117616
  0.8147063 ]",-17.461157,4.258315
/kaggle/input/van-gogh-paintings/Villege/Potato Digging Five Figures.jpg,Villege,9,"[-0.09386161  0.6070199   0.27462944 ... -0.05428019  0.1291484
  0.4840534 ]",-10.385929,10.876448
/kaggle/input/van-gogh-paintings/Villege/Dunes with Figures.jpg,Villege,9,"[-0.12713416  1.2686325   0.32713473 ...  0.1338314  -0.08672603
  0.06094779]",-10.013619,2.6228902
/kaggle/input/van-gogh-paintings/Villege/Farmhouses Among Trees.jpg,Villege,9,"[-0.063857   -0.01207414 -0.10991902 ... -0.02602125  0.33595476
 -0.09707955]",-4.539759,-13.447861
/kaggle/input/van-gogh-paintings/Villege/Cottages.jpg,Villege,9,"[-0.07466915  0.27226773  0.03058287 ... -0.14439096  0.11431191
  0.00592194]",-4.4659653,-12.815603
/kaggle/input/van-gogh-paintings/Villege/Landscape with Dunes.jpg,Villege,9,"[-0.1812537   0.6358374   0.5098838  ... -0.05929039 -0.07035015
 -0.00480525]",-10.474994,-1.1471868
/kaggle/input/van-gogh-paintings/Villege/Peasant Burning Weeds.jpg,Villege,9,[0.16526568 0.6201936  0.20164014 ... 0.41637594 0.08382758 0.5864417 ],-9.786518,4.2372065
"/kaggle/input/van-gogh-paintings/Watercolors/Weed Burner, Sitting on a Wheelbarrow with his Wife.jpg",Watercolors,10,[0.5276239  0.3558697  0.23867384 ... 0.39391917 0.07749821 0.6063907 ],-15.656152,10.969223
/kaggle/input/van-gogh-paintings/Watercolors/Trees and Shrubs 2.jpg,Watercolors,10,"[-0.14423062  0.2496818   0.77237225 ... -0.08529902  0.32516778
  0.50025785]",-13.141395,4.6825438
/kaggle/input/van-gogh-paintings/Watercolors/Peasant Girl Raking.jpg,Watercolors,10,[0.2137423  1.7365385  0.01332357 ... 0.1344556  0.28502116 0.33861485],-14.360434,8.996557
"/kaggle/input/van-gogh-paintings/Watercolors/Farmer Sitting at the Fireside, Reading.jpg",Watercolors,10,"[-0.19789663  0.51402026  0.20229119 ... -0.03914164  0.10785232
  0.00286102]",7.3628187,9.03931
/kaggle/input/van-gogh-paintings/Watercolors/Iron Mill in The Hague.jpg,Watercolors,10,"[-0.06118467  0.50654584  0.51767904 ... -0.15518753 -0.14854534
  0.03039684]",-5.668474,-11.427069
/kaggle/input/van-gogh-paintings/Watercolors/Three Woodcutters Walking.jpg,Watercolors,10,[0.37494957 0.42023048 0.34188423 ... 0.07122356 0.5175657  0.12840618],-14.620047,12.233058
